cycle,winavg
497,123.28370221327968
1497,123.15
2497,123.64
3497,123.62
4497,124.48
5497,124.74
6497,124.46
7497,125.44
8497,125.14
9497,125.1
10497,125.07
11497,125.56
12497,125.62
13497,125.59
14497,125.98
15497,126.09
16497,126.41
17497,125.9
18497,125.76
19497,126.3
20497,126.46
21497,125.98
22497,125.81
23497,126.3
24497,126.06
25497,126.44
26497,126.28
27497,126.51
28497,126.01
29497,126.55
30497,126.71
31497,126.24
32497,126.44
33497,126.41
34497,127.02
35497,126.86
36497,126.29
37497,126.71
38497,126.38
39497,126.58
40497,126.75
41497,126.47
42497,126.86
43497,126.93
44497,126.87
45497,127.03
46497,126.68
47497,127.02
48497,126.6
49497,127.35
50497,126.69
51497,126.99
52497,127.09
53497,127.31
54497,127.03
55497,126.98
56497,127.33
57497,127.03
58497,127.07
59497,126.93
60497,127.16
61497,126.91
62497,127.14
63497,127.09
64497,127.2
65497,126.95
66497,127.33
67497,126.7
68497,126.86
69497,127.42
70497,126.85
71497,127.2
72497,127.17
73497,127.53
74497,127.45
75497,127.2
76497,127.07
77497,127.28
78497,126.96
79497,127.37
80497,126.97
81497,127.63
82497,127.31
