cycle,winavg
1,0.0
1001,122.55
2001,122.93
3001,124.33
4001,124.55
5001,125.07
6001,124.47
7001,124.95
8001,125.04
9001,124.82
10001,125.53
11001,125.6
12001,125.67
13001,125.75
14001,125.45
15001,125.97
16001,125.77
17001,126.21
18001,125.99
19001,126.3
20001,126.07
21001,126.37
22001,125.97
23001,126.47
24001,126.8
25001,126.59
26001,126.72
27001,126.23
28001,126.58
29001,126.88
30001,126.86
31001,126.56
32001,126.69
33001,127.31
34001,126.87
35001,126.98
36001,126.68
37001,126.99
38001,126.45
39001,126.97
40001,126.1
41001,126.53
42001,127.13
43001,127.11
44001,126.97
45001,127.21
46001,126.78
47001,126.91
48001,127.12
49001,126.99
50001,127.23
51001,126.91
52001,126.97
53001,126.92
54001,127.31
55001,127.04
56001,127.59
57001,127.31
58001,127.25
59001,127.7
60001,127.04
61001,127.27
62001,127.37
63001,127.34
64001,127.29
65001,127.31
66001,127.5
67001,126.84
68001,126.97
69001,127.24
70001,127.22
71001,127.46
72001,127.17
73001,127.47
74001,127.61
75001,127.34
76001,127.06
77001,127.19
78001,127.36
79001,127.43
80001,127.45
81001,127.22
82001,127.77
83001,127.67
84001,127.66
85001,127.41
86001,127.31
87001,127.68
88001,127.45
89001,127.46
90001,127.77
91001,127.77
92001,127.92
93001,127.86
94001,127.69
95001,127.3
96001,127.01
97001,127.53
98001,127.52
99001,127.39
100001,127.28
