cycle,winavg
153,123.09803921568627
1153,122.65
2153,123.49
3153,124.44
4153,123.6
5153,124.54
6153,124.92
7153,125.31
8153,125.45
9153,125.56
10153,125.6
11153,125.99
12153,125.52
13153,126.29
14153,125.66
15153,126.44
16153,125.55
17153,125.91
18153,126.09
19153,125.66
20153,125.88
21153,126.23
22153,126.32
23153,126.75
24153,126.11
25153,126.77
26153,126.39
27153,126.71
28153,126.7
29153,126.36
30153,126.57
31153,126.31
32153,126.88
33153,127.01
34153,126.62
35153,126.28
36153,126.8
37153,126.68
38153,126.63
39153,127.12
40153,126.7
41153,126.88
42153,126.64
43153,127.2
44153,127.04
45153,126.83
46153,127.2
47153,126.59
48153,126.73
49153,127.04
50153,126.55
51153,127.15
52153,127.05
53153,127.22
54153,126.8
55153,127.32
56153,127.03
57153,127.45
58153,127.19
59153,127.11
60153,127.04
61153,127.26
62153,127.42
63153,126.71
64153,127.28
65153,127.08
66153,126.98
67153,127.45
68153,126.89
69153,126.93
70153,127.29
